italy-sda,Italy SDA
specialisedfreight-za,Specialised Freight
ensenda,Ensenda
india-post-int,India Post International
bpost,Bpost
chronopost-portugal,Chronopost Portugal
ptt-posta,PTT Posta
fastway-za,Fastway South Africa
spain-correos-es,Correos de España
saudi-post,Saudi Post
dpd-ireland,DPD Ireland
austrian-post-registered,Austrian Post (Registered)
kerry-logistics,Kerry Express Thailand
posten-norge,Posten Norge / Bring
thailand-post,Thailand Thai Post
hong-kong-post,Hong Kong Post
portugal-seur,Portugal Seur
international-seur,International Seur
yrc,YRC
canada-post,Canada Post
aramex,Aramex
gati-kwe,Gati-KWE
dhl-global-mail-asia,DHL eCommerce Asia
dhl-poland,DHL Poland Domestic
asendia-usa,Asendia USA
envialia,Envialia
magyar-posta,Magyar Posta
nova-poshta,Nova Poshta
cambodia-post,Cambodia Post
xend,Xend Express
2go,2GO
chronopost-france,Chronopost France
sgt-it,SGT Corriere Espresso
globegistics,Globegistics Inc.
nightline,Nightline
tnt-au,TNT Australia
acscourier,ACS Courier
uk-mail,UK Mail
siodemka,Siodemka
kn,Kuehne + Nagel
safexpress,Safexpress
skynet,SkyNet Malaysia
nipost,NiPost
oca-ar,OCA Argentina
aeroflash,Mexico AeroFlash
dhl-global-mail,DHL eCommerce US
sapo,South African Post Office
taqbin-hk,TAQBIN Hong Kong
deltec-courier,Deltec Courier
mexico-senda-express,Mexico Senda Express
mexico-redpack,Mexico Redpack
japan-post,Japan Post
sagawa,Sagawa
viettelpost,ViettelPost
postnl-3s,PostNL International 3S
tiki,Tiki
opek,FedEx Poland Domestic
ceska-posta,Česká Pošta
geodis-calberson-fr,GEODIS - Distribution & Express
ppbyb,PayPal Package
taqbin-jp,Yamato Japan
apc,APC Postal Logistics
ups-mi,UPS Mail Innovations
professional-couriers,Professional Couriers
gojavas,GoJavas
cj-gls,CJ GLS
ups-freight,UPS Freight
singapore-speedpost,Singapore Speedpost
taiwan-post,Taiwan Post
nacex-spain,NACEX Spain
lasership,LaserShip
china-ems,China EMS (ePacket)
taqbin-sg,TAQBIN Singapore
bgpost,Bulgarian Posts
brazil-correios,Brazil Correios
fedex,FedEx
ukrposhta,UkrPoshta
jam-express,Jam Express
estes,Estes
dtdc,DTDC India
interlink-express,DPD Local
austrian-post,Austrian Post (Express)
star-track,StarTrack
first-logistics,First Logistics
postnord,PostNord Logistics
belpost,Belpost
cyprus-post,Cyprus Post
spanish-seur,Spanish Seur
air21,AIR21
lbcexpress,LBC Express
vnpost,Vietnam Post
rl-carriers,RL Carriers
sf-express,S.F. Express
lietuvos-pastas,Lietuvos Paštas
ec-firstclass,EC-Firstclass
an-post,An Post
usps,USPS
swiss-post,Swiss Post
india-post,India Post Domestic
aupost-china,AuPost China
danmark-post,PostNord Denmark
gls-netherlands,GLS Netherlands
dpd-uk,DPD UK
hrvatska-posta,Hrvatska Pošta
posta-romana,Poșta Română
courierpost,CourierPost
gdex,GDEX
singapore-post,Singapore Post
tnt-fr,TNT France
fastway-au,Fastway Australia
new-zealand-post,New Zealand Post
poste-italiane,Poste Italiane
hermes-de,Hermes Germany
wahana,Wahana
dynamic-logistics,Dynamic Logistics
taqbin-my,TAQBIN Malaysia
dhl,DHL Express
citylinkexpress,City-Link Express
wedo,WeDo Logistics
malaysia-post-posdaftar,Malaysia Post - Registered
pos-indonesia,Pos Indonesia Domestic
pos-indonesia-int,Pos Indonesia Int'l
xdp-uk,XDP Express
portugal-ctt,Portugal CTT
hermes,Hermesworld
fastway-ireland,Fastway Ireland
raf,RAF Philippines
yundaex,Yunda Express
delhivery,Delhivery
dpe-za,DPE South Africa
equick-cn,Equick China
ecom-express,Ecom Express
tnt-click,TNT-Click Italy
4px,4PX
jcex,JCEX
post56,Post56
dhl-es,DHL Spain Domestic
transmission-nl,TransMission
la-poste-colissimo,La Poste
gls-italy,GLS Italy
malaysia-post,Malaysia Post EMS / Pos Laju
sto,STO Express
elta-courier,ELTA Hellenic Post
postnl-international,PostNL International
toll-ipec,Toll IPEC
asendia-de,Asendia Germany
correosexpress,Correos Express
ecargo-asia,Ecargo
fercam,FERCAM Logistics & Transport
dawnwing,Dawn Wing
jayonexpress,Jayon Express (JEX)
apc-overnight,APC Overnight
bert-fr,Bert Transport
homedirect-logistics,Homedirect Logistics
tuffnells,Tuffnells Parcels Express
ninjavan,Ninja Van
airpak-express,Airpak Express
imxmail,IMX Mail
norsk-global,Norsk Global
parcelpost-sg,Parcel Post Singapore
gofly,GoFly
empsexpress,EMPS Express
detrack,Detrack
old-dominion,Old Dominion Freight Line
airspeed,Airspeed International Corporation
jne,JNE
pandulogistics,Pandu Logistics
mondialrelay,Mondial Relay
lion-parcel,Lion Parcel
ups,UPS
australia-post,Australia Post
dhl-nl,DHL Netherlands
israel-post-domestic,Israel Post Domestic
skynetworldwide,SkyNet Worldwide Express
tnt,TNT
royal-mail,Royal Mail
parcel-force,Parcel Force
abf,ABF Freight
directlink,Direct Link
dhlparcel-nl,DHL Parcel NL
greyhound,Greyhound
dhl-germany,Deutsche Post DHL
gls,GLS
i-parcel,i-parcel
colissimo,Colissimo
poczta-polska,Poczta Polska
bpost-international,Bpost international
taxydromiki,Geniki Taxydromiki
skynetworldwide-uk,Skynet Worldwide Express UK
rpxonline,RPX Online
17postservice,17 Post Service
ghn,Giao hàng nhanh
israel-post,Israel Post
yodel,Yodel Domestic
trakpak,TrakPak
redur-es,Redur Spain
bluedart,Bluedart
emirates-post,Emirates Post
szdpex,DPEX China
qxpress,Qxpress
courier-plus,Courier Plus
800bestex,Best Express
courierit,Courier IT
dhl-deliverit,DHL 2-Mann-Handling
dbschenker-se,DB Schenker
xpressbees,XpressBees
dotzot,Dotzot
korea-post,Korea Post EMS
yodel-international,Yodel International
mypostonline,Mypostonline
panther,Panther
collectplus,Collect+
tntpost-it,Nexive (TNT Post Italy)
boxc,BoxC
deutsch-post,Deutsche Post Mail
first-flight,First Flight Couriers
asm,ASM
brt-it,BRT Bartolini
colis-prive,Colis Privé
estafeta,Estafeta
dhl-benelux,DHL Benelux
mrw-spain,MRW
toll-priority,Toll Priority
tnt-it,TNT Italy
tnt-uk,TNT UK
arrowxl,Arrow XL
tgx,Kerry Express Hong Kong
ontrac,OnTrac
star-track-express,Star Track Express
fedex-uk,FedEx UK
exapaq,DPD France
wishpost,WishPost
sic-teliway,Teliway SIC Express
packlink,Packlink
sweden-posten,PostNord Sweden
canpar,Canpar Courier
myhermes-uk,myHermes UK
ramgroup-za,RAM
dhl-pieceid,DHL Express (Piece ID)
speedexcourier,Speedex Courier
speedcouriers-gr,Speed Couriers
dpd,DPD
dmm-network,DMM Network
vnpost-ems,Vietnam Post EMS
dsv,DSV
sfb2c,S.F International
russian-post,Russian Post
flytexpress,Flyt Express
abxexpress-my,ABX Express
kangaroo-my,Kangaroo Worldwide Express
yanwen,Yanwen
posti,Posti
cnexps,CNE Express
zjs-express,ZJS International
asendia-uk,Asendia UK
cbl-logistica,CBL Logistics
correos-chile,Correos Chile
dpd-poland,DPD Poland
newgistics,Newgistics
easy-mail,Easy Mail
fastrak-th,Fastrak Services
fastway-nz,Fastway New Zealand
nanjingwoyuan,Nanjing Woyuan
lwe-hk,Logistic Worldwide Express
yunexpress,Yun Express
ubi-logistics,UBI Smart Parcel
purolator,Purolator
bondscouriers,Bonds Couriers
nationwide-my,Nationwide Express
jet-ship,Jet-Ship Worldwide
rpx,RPX Indonesia
nhans-solutions,Nhans Solutions
cuckooexpress,Cuckoo Express
bh-posta,JP BH Pošta
rzyexpress,RZY Express
rrdonnelley,RRD International Logistics U.S.A
post-serbia,Post Serbia
costmeticsnow,Cosmetics Now
correos-de-mexico,Correos de Mexico
fedex-freight,FedEx Freight
quantium,Quantium
tnt-reference,TNT Reference
tnt-uk-reference,TNT UK Reference
xdp-uk-reference,XDP Express Reference
4-72,4-72 Entregando
dpex,DPEX
dpd-de,DPD Germany
oneworldexpress,One World Express
delcart-in,Delcart
sekologistics,SEKO Logistics
kerryttc-vn,Kerry Express (Vietnam) Co Ltd
postur-is,Iceland Post
ninjavan-my,Ninja Van Malaysia
hh-exp,Hua Han Logistics
srekorea,SRE Korea
parcelled-in,Parcelled.in
couriers-please,Couriers Please
adsone,ADSOne
smsa-express,SMSA Express
inpost-paczkomaty,InPost Paczkomaty
omniparcel,Omni Parcel
dhl-hk,DHL Hong Kong
kgmhub,KGM Hub
con-way,Con-way Freight
echo,Echo
matkahuolto,Matkahuolto
china-post,China Post
postnl,PostNL Domestic
lao-post,Lao Post
raben-group,Raben Group
360lion,360 Lion Express
pfcexpress,PFC Express
matdespatch,Matdespatch
rocketparcel,Rocket Parcel International
raiderex,RaidereX
cpacket,cPacket
yto,YTO Express
adicional,Adicional Logistics
sfcservice,SFC Service
directfreight-au,Direct Freight Express
skypostal,Asendia HK – Premium Service (LATAM)
xq-express,XQ Express
dpe-express,DPE Express
idexpress,IDEX
buylogic,Buylogic
courex,Urbanfox
scudex-express,Scudex Express
b2ceurope,B2C Europe
expeditors,Expeditors
thecourierguy,The Courier Guy
dtdc-au,DTDC Australia
ninjavan-id,Ninja Van Indonesia
imexglobalsolutions,IMEX Global Solutions
alphafast,alphaFAST
landmark-global,Landmark Global
roadbull,Roadbull Logistics
geodis-espace,Geodis E-space
simplypost,SimplyPost
dhl-global-forwarding,DHL Global Forwarding
interlink-express-reference,DPD Local reference
jersey-post,Jersey Post
directlog,Directlog
jocom,Jocom
sendle,Sendle
ekart,Ekart
hunter-express,Hunter Express
xl-express,XL Express
yakit,Yakit
zyllem,Zyllem
dhl-active-tracing,DHL Active Tracing
eparcel-kr,eParcel Korea
dex-i,DEX-I
brt-it-parcelid,BRT Bartolini(Parcel ID)
holisol,Holisol
sendit,Sendit
mailamericas,MailAmericas
correos-de-costa-rica,Correos de Costa Rica
copa-courier,Copa Airlines Courier
mara-xpress,Mara Xpress
mikropakket,Mikropakket
wndirect,wnDirect
kiala,Kiala
ruston,Ruston
wanbexpress,WanbExpress
cj-korea-thai,CJ Korea Express
wise-express,Wise Express
rpd2man,RPD2man Deliveries
acommerce,aCommerce
panther-reference,Panther Reference
wiseloads,Wiseloads
rincos,Rincos
alliedexpress,Allied Express
hermes-it,Hermes Italy
asendia-hk,Asendia HK
ninjavan-thai,Ninja Van Thailand
eurodis,Eurodis
whistl,Whistl
abcustom,AB Custom Group
tipsa,TIPSA
ninjavan-philippines,Ninja Van Philippines
zto-express,ZTO Express
nim-express,Nim Express
alljoy,ALLJOY SUPPLY CHAIN CO., LTD
doora,Doora Logistics
dynalogic,Dynalogic Benelux BV
collivery,MDS Collivery Pty (Ltd)
gsi-express,GSI EXPRESS
rcl,Red Carpet Logistics
mxe,MXE Express
birdsystem,BirdSystem
paquetexpress,Paquetexpress
line,Line Clear Express & Logistics Sdn Bhd
efs,EFS (E-commerce Fulfillment Service)
instant,INSTANT (Tiong Nam Ebiz Express Sdn Bhd)
kpost,Korea Post
collectco,CollectCo
ddexpress,DD Express Courier
smooth,Smooth Couriers
panther-order-number,Panther Order Number
sailpost,SAILPOST
tcs,TCS
ezship,EZship
nova-poshtaint,Nova Poshta (International)
skynetworldwide-uae,SkyNet Worldwide Express UAE
demandship,DemandShip
pickup,Pickupp
mainfreight,Mainfreight
aprisaexpress,Aprisa Express
shreetirupati,SHREE TIRUPATI COURIER SERVICES PVT. LTD.
omniva,Omniva
acsworldwide,ACS Worldwide Express
janco,Janco Ecommerce
dylt,Daylight Transport, LLC
capital,Capital Transport
uds,United Delivery Service, Ltd
zepto-express,ZeptoExpress
skybox,SKYBOX
jinsung,JINSUNG TRADING
amazon-fba-us,Amazon FBA USA
saia-freight,Saia LTL Freight
star-track-courier,Star Track Courier
dpd-ro,DPD Romania
sky-postal,SkyPostal
wepost,WePost Logistics
palexpress,PAL Express Limited
chitchats,Chit Chats
aduiepyle,A Duie Pyle
pilot-freight,Pilot Freight Services
ecms,ECMS International Logistics Co., Ltd.
jx,JX
bestwayparcel,Best Way Parcel
zinc,Zinc
etotal,eTotal Solution Limited
xpost,Xpost.ph
lonestar,Lone Star Overnight
m-xpress,M Xpress Sdn Bhd
gls-cz,GLS Czech Republic
cj-malaysia,CJ Century
bjshomedelivery,BJS Distribution, Storage & Couriers
bneed,Bneed
cj-malaysia-international,CJ Century (International)
dtdc-express,DTDC Express Global PTE LTD
deliveryontime,DELIVERYONTIME LOGISTICS PVT LTD
k1-express,K1 Express
alfatrex,AlfaTrex
parcelpoint,ParcelPoint Pty Ltd
ep-box,EP-Box
pickupp-sgp,PICK UPP
pickupp-mys,PICK UPP
dpd-ru,DPD Russia
j-net,J-Net
trans-kargo,Trans Kargo Internasional
lht-express,LHT Express
dpd-hk,DPD HK
clevy-links,Clevy Links
bluecare,Bluecare Express Ltd
chrobinson,C.H. Robinson Worldwide, Inc.
cjlogistics,CJ Logistics International
dbschenker-sv,DB Schenker Sweden
post-slovenia,Post of Slovenia
bluestar,Blue Star
megasave,Megasave
007ex,007EX
pixsell,PIXSELL LOGISTICS
cloudwish-asia,Cloudwish Asia
dhlparcel-es,DHL Parcel Spain
cj-philippines,CJ Transnational Philippines
shippit,Shippit
shopfans,ShopfansRU LLC
pitney-bowes,Pitney Bowes
shree-maruti,Shree Maruti Courier Services Pvt Ltd
tophatterexpress,Tophatter Express
celeritas,Celeritas Transporte, S.L
dimerco,Dimerco Express Group
skynet-za,Skynet World Wide Express South Africa
fedex-crossborder,Fedex Cross Border
mailplus,MailPlus
spoton,SPOTON Logistics Pvt Ltd
tolos,Tolos
kwt,Shenzhen Jinghuada Logistics Co., Ltd
sap-express,SAP EXPRESS
sending,Sending Transporte Urgente y Comunicacion, S.A.U
sypost,Shunyou Post
qualitypost,QualityPost
intexpress,Internet Express
seino,Seino
jtexpress,J&T EXPRESS MALAYSIA
linkbridge,Link Bridge(BeiJing)international logistics co.,ltd
national-sameday,National Sameday
shiptor,Shiptor
bh-worldwide,B&H Worldwide
